Date,Open,High,Low,Close,Volume
20091016,316.7828,317.9568,313.8805,316.1551,24369
20091019,314.8996,317.7041,311.8015,313.2282,15297
20091020,313.2282,315.6252,306.0783,310.6927,47145
20091021,310.6927,312.6494,304.5456,304.7412,92081
20091022,301.5291,307.7496,297.6565,307.7496,76802
20091023,307.1871,307.1871,303.2819,304.3091,70869
20091026,304.5211,308.5241,303.6080,303.7792,41186
20091027,303.7792,307.1789,299.0180,299.0180,48578
20091028,297.5750,306.6816,297.5750,303.7303,48171
20091029,307.9860,308.8421,300.9339,307.2767,59348
20091030,324.4790,324.4790,310.9210,315.5681,64566
20091102,313.8805,315.3724,308.2714,310.2117,78448
20091103,310.1221,311.7934,306.4615,310.8313,69293
20091104,309.8041,313.6114,306.6327,306.6327,67922
20091105,306.6327,311.8423,304.2358,311.8423,52400
20091106,309.8041,317.5492,309.8041,315.0952,41196
20091109,312.2581,315.1034,309.5351,310.7824,37841
20091110,308.9970,313.5544,305.8093,313.5544,52317
20091111,313.0489,316.1469,306.7876,306.7876,52773
20091112,305.7277,307.8556,304.1461,305.5973,58262
20091113,305.6217,308.2551,303.5265,305.6462,63769
20091116,307.3583,307.3583,299.2871,299.2871,95269
20091117,302.2628,310.3422,299.6295,306.5430,35252
20091118,306.5430,314.2881,305.3935,312.3478,36833
20091119,309.8041,315.0137,308.1735,312.6331,38634
20091120,310.7090,316.2855,310.7090,315.9187,21084
20091123,313.9538,315.5110,309.5351,309.8856,27759
20091124,308.9970,309.6003,305.7277,305.7277,31003
20091125,306.9588,306.9588,299.2055,299.6213,60627
20091126,300.1268,301.6677,299.2055,300.0208,9225
20091127,298.3903,304.0890,297.5750,301.4475,17201
20091130,304.9125,306.6245,299.3115,306.6245,51615
20091201,306.6327,307.5132,302.5074,303.2819,30153
20091202,302.6868,305.3201,302.6868,302.6868,22703
20091203,302.6868,307.5132,302.6868,305.7848,25280
20091204,306.7468,306.7468,303.6651,305.4016,19110
20091207,306.3392,308.6790,304.7983,308.1980,24412
20091208,306.6164,309.6166,306.6164,308.4670,29371
20091209,309.7796,309.7796,304.0890,306.5104,29585
20091210,306.5104,307.1055,301.3416,304.8880,34858
20091211,304.8146,305.3201,300.4284,304.0972,41203
20091214,303.2738,304.0564,296.9635,297.9092,28976
20091215,297.9092,299.3360,296.7597,297.6158,30781
20091216,298.3984,306.3555,298.1375,304.9125,43940
20091217,303.2819,308.9644,301.1296,308.9644,34861
20091218,308.5730,314.6957,307.3583,313.8805,174677
20091221,311.8423,314.6713,309.0459,313.0978,27755
20091222,311.4346,320.1010,311.4346,319.9053,30358
20091223,319.9053,334.0585,319.9053,333.0231,43914
20091224,334.0911,340.2546,334.0911,340.2546,17415
20091229,338.3305,338.3305,334.4661,335.8929,16137
20091230,333.0476,334.7596,333.0476,334.5884,9413
20091231,333.4552,335.0694,333.4552,334.2623,14897
20100104,334.2623,334.5232,331.1235,331.8083,22593
20100105,331.8328,333.8710,330.6507,331.4007,23090
20100106,331.4007,333.1209,329.1995,329.2076,21446
20100107,330.1859,331.3273,324.4790,327.9602,23267
20100108,329.0772,329.3788,321.9517,321.9517,43492
20100111,322.0414,327.9032,322.0414,322.8485,14770
20100112,322.0903,327.7401,322.0903,325.3514,159211
